date,pressure1,pressure2,pressure3,outputyield,system
2017-03-03,4.36266,4.38501,4.19262,14.9928,5
2017-03-03,4.24914,4.76836,4.31011,14.43283,6
2017-03-03,4.70414,4.84721,4.33029,14.781,3
2017-03-03,4.41108,4.02417,4.79261,14.31829,3
2017-03-03,4.49317,4.22684,4.95811,14.91668,3
2017-03-03,4.44924,4.97143,4.27996,14.39469,3
2017-03-03,4.84374,4.53992,4.30974,14.08115,4
2017-03-03,4.31201,4.31402,4.58774,14.64253,4
2017-03-03,4.45585,4.95559,4.35248,14.34307,6
2017-03-03,4.84695,4.58931,4.50398,14.40361,1
2017-03-03,4.64153,4.75121,4.78753,14.56177,6
2017-03-03,4.05312,4.19749,4.71258,14.21186,2
2017-03-03,4.15721,4.2704,4.29986,14.0847,3
2017-03-03,4.38086,4.14422,4.67875,14.70734,4
2017-03-03,4.66922,4.4899,4.57795,14.47354,2
2017-03-03,4.92135,4.74352,4.09169,14.8518,2
2017-03-03,4.52016,4.19663,4.71189,14.36003,4
2017-03-03,4.54526,4.6141,4.80918,14.96761,3
2017-03-03,4.99757,4.25119,4.60771,14.36092,3
2017-03-03,4.69391,4.99659,4.85768,14.70651,2
2017-03-03,4.81941,4.20896,4.44983,14.0557,1
2017-03-03,4.24769,4.93397,4.59774,14.25068,6
2017-03-03,4.31724,4.41391,4.01963,14.06888,3
2017-03-03,4.42975,4.74242,4.52874,14.79179,5
2017-03-03,4.11372,4.92004,4.93736,14.36599,1
2017-03-03,4.64094,4.84115,4.85616,14.26534,3
2017-03-03,4.44818,4.38725,4.52298,14.11584,6
2017-03-03,4.12324,4.36641,4.19324,14.91984,3
2017-03-03,4.65726,4.18534,4.52455,14.31257,3
2017-03-03,4.93212,4.58542,4.02047,14.99419,3
2017-03-03,4.64582,4.87885,4.22245,14.22181,1
2017-03-03,4.35359,4.59809,4.48393,14.95723,6
2017-03-03,4.68621,4.58589,4.84458,14.86487,6
2017-03-03,4.71409,4.11765,4.19745,14.24329,1
2017-03-03,4.38959,4.61772,4.69561,14.49154,2
2017-03-03,4.26041,4.23574,4.04848,14.83717,5
2017-03-03,4.9816,4.25698,4.25392,14.34133,5
2017-03-03,4.23364,4.04576,4.52422,14.06081,3
2017-03-03,4.16562,4.23501,4.89474,14.92747,3
2017-03-03,4.87563,4.13927,4.31768,14.27947,2
2017-03-03,4.0912,4.91055,4.09453,14.57739,5
2017-03-03,4.43616,4.24285,4.39426,14.62319,2
2017-03-03,4.87697,4.59208,4.81803,14.0918,1
2017-03-03,4.50276,4.23103,4.98769,14.33738,1
2017-03-03,4.97585,4.55191,4.36806,14.80717,5
2017-03-03,4.23556,4.72452,4.02752,14.15212,1
2017-03-03,4.75167,4.79286,4.93209,14.45238,3
2017-03-03,4.76188,4.62401,4.28589,14.84881,3
2017-03-03,4.81972,4.3398,4.73506,14.5946,4
2017-03-03,4.7761,4.2304,4.90286,14.84617,5
2017-03-03,4.01336,4.02428,4.63357,14.19527,1
2017-03-03,4.84447,4.31578,4.11595,14.16443,1
2017-03-03,4.3794,4.30483,4.66246,14.2581,5
2017-03-03,4.81517,4.28691,4.63599,14.83599,2
2017-03-03,4.11419,4.64516,4.07772,14.78598,2
2017-03-03,4.61424,4.68937,4.96649,14.87688,1
2017-03-03,4.31806,4.8674,4.39588,14.95286,2
2017-03-03,4.92948,4.40707,4.86862,14.90956,4
2017-03-03,4.17876,4.97824,4.50692,14.63362,2
2017-03-03,4.05768,4.56401,4.34386,14.55401,3
2017-03-03,4.30509,4.74452,4.58421,14.89736,1
2017-03-03,4.8761,4.18452,4.82747,14.0629,4
2017-03-03,4.3034,4.53702,4.80689,14.4545,1
